error,description,categories
C0300,C0300,"['Auto Repair', 'DIY Auto Shop', 'Transmission Repair']"
NO_ERROR,Nothing wrong,['Auto Repair']
P0078-B0004-P3000,P0078-B0004-P3000,"['Auto Repair', 'Smog Check Stations', 'Wheel & Rim Repair']"
P0078-U1004-P3000,P0078-U1004-P3000,"['Auto Repair', 'Smog Check Stations']"
P0079-C1004-P3000,P0079-C1004-P3000,"['Auto Repair', 'Smog Check Stations', 'Wheel & Rim Repair']"
P0079-P1004-P3000,P0079-P1004-P3000,"['Auto Repair', 'Smog Check Stations']"
P0079-P2004-P3000,P0079-P2004-P3000,"['Auto Repair', 'Smog Check Stations']"
P007E-P2036-P18D0,P007E-P2036-P18D0,['Auto Repair']
P007E-P2036-P18E0,P007E-P2036-P18E0,['Auto Repair']
P007E-P2036-P18F0,P007E-P2036-P18F0,['Auto Repair']
P007F-P2036-P18D0,P007F-P2036-P18D0,['Auto Repair']
P007F-P2036-P18E0,P007F-P2036-P18E0,['Auto Repair']
P007F-P2036-P18F0,P007F-P2036-P18F0,['Auto Repair']
P0133,P0133,['Auto Repair']
